PKABCODE,index_right,prop_name,prop_id,primary_commodity,projects,dev_stage,activ_status,commodities_list,state_province,latitude,longitude,mo_yr_source_d
6107,202,SNR,40441,Coal,Projects,Exploration,Active,Coal,Kalimantan Barat,1.05,111.25,2016-05-01
6108,484,Kapuas Hulu,65107,Gold,Projects,Grassroots,Inactive,Gold,Kalimantan Barat,0.385,112.73,2013-10-01
6108,470,Selaup,63906,Gold,Projects,Exploration,Inactive,"Gold,Copper,Zinc,Lead,Silver",Kalimantan Barat,0.433,112.634,2014-01-01
6108,71,Bunut,30501,Gold,Projects,Target Outline,Inactive,Gold,Kalimantan Barat,0.54673,112.59906,2003-07-01
6108,60,Putussibau,29975,Gold,Projects,Target Outline,Inactive,Gold,Kalimantan Barat,0.88359,112.89245,2003-05-01
6201,642,Pangkalan Bun Smelter,89423,Zinc,Facilities,Construction Started,Active,Zinc,Kalimantan Tengah,-2.63968,111.80126,
6201,48,Ruwai,29784,Zinc,Projects,Feasibility,Inactive,"Zinc,Lead,Copper,Silver",Kalimantan Tengah,-1.53632,111.29827,1999-04-01
6202,2,Cempaga Buang,26552,Gold,Projects,Closed,Inactive,"Gold,Zircon",Kalimantan Tengah,-2.20167,113.20806,1999-08-01
6202,533,Qing Mei,68256,Coal,Projects,Advanced Exploration,Inactive,Coal,Kalimantan Tengah,-2.0837,113.64058,2014-01-01
6202,352,Ampalit,52810,Gold,Projects,,Inactive,"Gold,Zircon",Kalimantan Tengah,-2.0,113.25,2000-07-01
6202,432,Ampalit Plant,61540,Zircon,Facilities,Closed,Inactive,"Zircon,Gold",Kalimantan Tengah,-1.97973,113.30396,2000-02-01
6202,113,Desa Mirah Kalanaman,36677,Iron Ore,Projects,Prefeas/Scoping,Inactive,Iron Ore,Kalimantan Tengah,-1.621923,112.948681,2010-09-01
6202,12,Mirah,27113,Gold,Projects,Preproduction,Inactive,"Gold,Silver",Kalimantan Tengah,-1.54056,112.92639,2008-09-01
6202,169,Katingan Ria,39583,Coal,Projects,Feasibility Complete,Active,Coal,Kalimantan Tengah,-1.180926,112.875935,2018-04-01
6202,196,Katingan,40269,Coal,Projects,Target Outline,Inactive,Coal,Kalimantan Tengah,-1.17551,112.88727,2015-12-01
6202,348,Central Kalimantan,52736,Gold,Projects,,Inactive,"Gold,Copper,Zinc,Lead",Kalimantan Tengah,-0.58069,113.20888,1996-12-01
6203,120,Gold Tiger,37675,Gold,Projects,Target Outline,Inactive,Gold,Kalimantan Tengah,-1.27,114.35222,2010-05-01
6203,541,TTA,70043,Coal,Projects,Operating,,Coal,Kalimantan Tengah,-1.12014,114.44758,2011-01-01
6203,424,Central Kalimantan (2),61061,Coal,Projects,Grassroots,Inactive,Coal,Kalimantan Tengah,-0.87625,114.255,2015-12-01
6203,574,Mandiri,83791,Zircon,Projects,Operating,Active,"Zircon,Rutile,Leucoxene,Ilmenite,Heavy Mineral Sands",Kalimantan Tengah,-1.17471,113.83027,2019-08-01
6203,50,Gunang Mas,29826,Gold,Projects,Target Outline,Inactive,Gold,Kalimantan Tengah,-1.083368,113.511481,2010-10-01
6203,182,AAM,39986,Coal,Projects,Exploration,Active,Coal,Kalimantan Tengah,-0.92877,113.3889,2016-04-01
6203,361,Masao,53096,Gold,Projects,,Inactive,Gold,Kalimantan Tengah,-0.67449,114.06156,1998-10-01
6203,636,BKM (SX-EW) Refinery,89021,Copper,Facilities,Feasibility,Active,Copper,Kalimantan Tengah,-0.61247,113.46326,2022-01-01
6203,143,KSK,38884,Copper,Projects,Feasibility Complete,Active,"Copper,Gold,Silver,Molybdenum,Lead,Zinc",Kalimantan Tengah,-0.59885,113.41527,2022-05-01
6203,39,Marsuparia,29535,Copper,Projects,Target Outline,Inactive,"Copper,Gold",Kalimantan Tengah,-0.54667,114.04889,2006-01-01
6203,285,AAK,49616,Coal,Projects,Exploration,Temporarily On Hold,Coal,Kalimantan Tengah,-0.45,113.75,2022-04-01
